domainName,idKab,idParent,idPro,idWilayah_1,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,alokasiKursi,alokasiSisaKursi,createdAt,createdBy,id,idVersi,idWilayah,jumlahPenduduk,nama,noDapil,parent,peringkatPenduduk,sisaPenduduk,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt,updatedBy
acehjayakab,5286,1,1,5286,1114,111400,1114000000,11,ACEH JAYA,ACEH,ACEH JAYA,2,4,1,"Dec 31, 2017 2:55:03 PM",vici,5543,1342,5286,21423,ACEH JAYA 3,3,-1,1,4215,False,2,5,"Dec 31, 2017 6:07:50 PM",galuh
acehjayakab,5286,1,1,5286,1114,111400,1114000000,11,ACEH JAYA,ACEH,ACEH JAYA,2,5,0,"Dec 31, 2017 2:55:03 PM",vici,5544,1342,5286,21915,ACEH JAYA 4,4,-1,4,405,False,2,5,"Dec 31, 2017 6:07:50 PM",galuh
naganrayakab,5463,1,1,5463,1115,111500,1115000000,11,NAGAN RAYA,ACEH,NAGAN RAYA,2,8,0,"Dec 31, 2017 2:41:40 PM",hafizh,2880,772,5463,56119,NAGAN RAYA 1,1,-1,3,2471,False,2,8,"Dec 31, 2017 2:41:40 PM",hafizh
naganrayakab,5463,1,1,5463,1115,111500,1115000000,11,NAGAN RAYA,ACEH,NAGAN RAYA,2,8,1,"Dec 31, 2017 2:41:40 PM",hafizh,2881,772,5463,58333,NAGAN RAYA 2,2,-1,2,4685,False,2,9,"Dec 31, 2017 2:41:40 PM",hafizh
naganrayakab,5463,1,1,5463,1115,111500,1115000000,11,NAGAN RAYA,ACEH,NAGAN RAYA,2,7,1,"Dec 31, 2017 2:41:40 PM",hafizh,2882,772,5463,53220,NAGAN RAYA 3,3,-1,1,6278,False,2,8,"Dec 31, 2017 2:41:40 PM",hafizh
acehtamiangkab,5694,1,1,5694,1116,111600,1116000000,11,ACEH TAMIANG,ACEH,ACEH TAMIANG,2,10,1,"Dec 31, 2017 10:44:41 AM",hafizh,2737,742,5694,105446,ACEH TAMIANG 1,1,-1,1,9536,False,2,11,"Dec 31, 2017 10:44:41 AM",hafizh
acehtamiangkab,5694,1,1,5694,1116,111600,1116000000,11,ACEH TAMIANG,ACEH,ACEH TAMIANG,2,9,1,"Dec 31, 2017 10:44:41 AM",hafizh,2738,742,5694,94131,ACEH TAMIANG 2,2,-1,2,7812,False,2,10,"Dec 31, 2017 10:44:41 AM",hafizh
acehtamiangkab,5694,1,1,5694,1116,111600,1116000000,11,ACEH TAMIANG,ACEH,ACEH TAMIANG,2,9,0,"Dec 31, 2017 10:44:41 AM",hafizh,2739,742,5694,88156,ACEH TAMIANG 3,3,-1,3,1837,False,2,9,"Dec 31, 2017 10:44:41 AM",hafizh
benermeriahkab,5920,1,1,5920,1117,111700,1117000000,11,BENER MERIAH,ACEH,BENER MERIAH,2,8,1,"Dec 31, 2017 2:57:53 PM",vici,5545,1343,5920,53336,BENER MERIAH 1,1,-1,2,3896,False,2,9,"Dec 31, 2017 2:26:13 PM",hafizh
benermeriahkab,5920,1,1,5920,1117,111700,1117000000,11,BENER MERIAH,ACEH,BENER MERIAH,2,6,1,"Dec 31, 2017 2:57:53 PM",vici,5546,1343,5920,42629,BENER MERIAH 2,2,-1,1,5549,False,2,7,"Dec 31, 2017 2:26:13 PM",hafizh
benermeriahkab,5920,1,1,5920,1117,111700,1117000000,11,BENER MERIAH,ACEH,BENER MERIAH,2,9,0,"Dec 31, 2017 2:57:53 PM",vici,5547,1343,5920,58544,BENER MERIAH 3,3,-1,3,2924,False,2,9,"Dec 31, 2017 2:26:13 PM",hafizh
