idPro,namaPro,idKab,namaKab,totalAlokasiKursi
72551,SULAWESI TENGGARA,928076,KOLAKA TIMUR,25
72551,SULAWESI TENGGARA,928077,KONAWE KEPULAUAN,20
72551,SULAWESI TENGGARA,928082,MUNA BARAT,20
72551,SULAWESI TENGGARA,928083,BUTON TENGAH,25
72551,SULAWESI TENGGARA,928084,BUTON SELATAN,20
74716,GORONTALO,74717,GORONTALO,35
74716,GORONTALO,74941,BOALEMO,25
74716,GORONTALO,75031,BONE BOLANGO,25
74716,GORONTALO,75183,PAHUWATO,25
74716,GORONTALO,75301,GORONTALO UTARA,25
74716,GORONTALO,75365,KOTA GORONTALO,25
75425,SULAWESI BARAT,75426,MAMUJU UTARA,30
75425,SULAWESI BARAT,75502,MAMUJU,30
75425,SULAWESI BARAT,75670,MAMASA,30
75425,SULAWESI BARAT,75863,POLEWALI MANDAR,45
75425,SULAWESI BARAT,76047,MAJENE,25
75425,SULAWESI BARAT,928078,MAMUJU TENGAH,25
76096,MALUKU,76097,MALUKU BARAT DAYA,20
76096,MALUKU,76223,BURU SELATAN,20
76096,MALUKU,76284,MALUKU TENGAH,40
76096,MALUKU,76470,MALUKU TENGGARA,25
76096,MALUKU,76568,MALUKU TENGGARA BARAT,25
76096,MALUKU,76651,BURU,25
76096,MALUKU,76708,SERAM BAGIAN TIMUR,25
76096,MALUKU,76771,SERAM BAGIAN BARAT,30
76096,MALUKU,76868,KEPULAUAN ARU,25
76096,MALUKU,76995,KOTA AMBON,35
76096,MALUKU,77051,KOTA TUAL,20
77085,MALUKU UTARA,77086,PULAU MOROTAI,20
77085,MALUKU UTARA,77155,HALMAHERA BARAT,25
77085,MALUKU UTARA,77311,HALMAHERA TENGAH,20
77085,MALUKU UTARA,77364,HALMAHERA UTARA,25
77085,MALUKU UTARA,77578,HALMAHERA SELATAN,30
77085,MALUKU UTARA,77858,KEPULAUAN SULA,25
77085,MALUKU UTARA,77956,HALMAHERA TIMUR,20
77085,MALUKU UTARA,78040,KOTA TERNATE,30
77085,MALUKU UTARA,78122,KOTA TIDORE KEPULAUAN,25
77085,MALUKU UTARA,928079,PULAU TALIABU,20
78203,PAPUA,78204,INTAN JAYA,25
78203,PAPUA,78289,DEIYAI,20
78203,PAPUA,78324,TOLIKARA,30
78203,PAPUA,78862,WAROPEN,20
78203,PAPUA,78927,BOVEN DIGOEL,20
78203,PAPUA,79019,MAPPI,25
78203,PAPUA,79163,ASMAT,25
78203,PAPUA,79310,SUPIORI,20
78203,PAPUA,79354,MAMBERAMO RAYA,20
78203,PAPUA,79421,KOTA JAYAPURA,40
78203,PAPUA,79466,MAMBERAMO TENGAH,20
78203,PAPUA,79531,YALIMO,25
78203,PAPUA,79564,LANNY JAYA,25
78203,PAPUA,79629,NDUGA,25
78203,PAPUA,79663,PUNCAK,25
78203,PAPUA,79752,DOGIYAI,25
78203,PAPUA,79826,MERAUKE,30
