dapil_id,nama_dapil,kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
6298,KEPULAUAN MENTAWAI 2,13554,KEPULAUAN MENTAWAI,12920,SUMATERA BARAT
6299,KEPULAUAN MENTAWAI 3,13554,KEPULAUAN MENTAWAI,12920,SUMATERA BARAT
1737,DHARMASRAYA 1,13608,DHARMASRAYA,12920,SUMATERA BARAT
1738,DHARMASRAYA 2,13608,DHARMASRAYA,12920,SUMATERA BARAT
1739,DHARMASRAYA 3,13608,DHARMASRAYA,12920,SUMATERA BARAT
1740,DHARMASRAYA 4,13608,DHARMASRAYA,12920,SUMATERA BARAT
6252,SOLOK SELATAN 1,13634,SOLOK SELATAN,12920,SUMATERA BARAT
6253,SOLOK SELATAN 2,13634,SOLOK SELATAN,12920,SUMATERA BARAT
6254,SOLOK SELATAN 3,13634,SOLOK SELATAN,12920,SUMATERA BARAT
1684,PASAMAN BARAT 1,13681,PASAMAN BARAT,12920,SUMATERA BARAT
1685,PASAMAN BARAT 2,13681,PASAMAN BARAT,12920,SUMATERA BARAT
1686,PASAMAN BARAT 3,13681,PASAMAN BARAT,12920,SUMATERA BARAT
1687,PASAMAN BARAT 4,13681,PASAMAN BARAT,12920,SUMATERA BARAT
1567,KOTA PADANG 1,13712,KOTA PADANG,12920,SUMATERA BARAT
1568,KOTA PADANG 2,13712,KOTA PADANG,12920,SUMATERA BARAT
1569,KOTA PADANG 3,13712,KOTA PADANG,12920,SUMATERA BARAT
1570,KOTA PADANG 4,13712,KOTA PADANG,12920,SUMATERA BARAT
1571,KOTA PADANG 5,13712,KOTA PADANG,12920,SUMATERA BARAT
1755,KOTA SOLOK 1,13828,KOTA SOLOK,12920,SUMATERA BARAT
1756,KOTA SOLOK 2,13828,KOTA SOLOK,12920,SUMATERA BARAT
6125,KOTA SAWAHLUNTO 1,13844,KOTA SAWAHLUNTO,12920,SUMATERA BARAT
6126,KOTA SAWAHLUNTO 2,13844,KOTA SAWAHLUNTO,12920,SUMATERA BARAT
6127,KOTA SAWAHLUNTO 3,13844,KOTA SAWAHLUNTO,12920,SUMATERA BARAT
2048,KOTA PADANG PANJANG 1,13886,KOTA PADANG PANJANG,12920,SUMATERA BARAT
2049,KOTA PADANG PANJANG 2,13886,KOTA PADANG PANJANG,12920,SUMATERA BARAT
6153,KOTA BUKITTINGGI 1,13905,KOTA BUKITTINGGI,12920,SUMATERA BARAT
6154,KOTA BUKITTINGGI 2,13905,KOTA BUKITTINGGI,12920,SUMATERA BARAT
6155,KOTA BUKITTINGGI 3,13905,KOTA BUKITTINGGI,12920,SUMATERA BARAT
1709,KOTA PAYAKUMBUH 1,13933,KOTA PAYAKUMBUH,12920,SUMATERA BARAT
1710,KOTA PAYAKUMBUH 2,13933,KOTA PAYAKUMBUH,12920,SUMATERA BARAT
1711,KOTA PAYAKUMBUH 3,13933,KOTA PAYAKUMBUH,12920,SUMATERA BARAT
6228,KOTA PARIAMAN 1,14010,KOTA PARIAMAN,12920,SUMATERA BARAT
6229,KOTA PARIAMAN 2,14010,KOTA PARIAMAN,12920,SUMATERA BARAT
6230,KOTA PARIAMAN 3,14010,KOTA PARIAMAN,12920,SUMATERA BARAT
2942,KEPULAUAN MERANTI 1,14087,KEPULAUAN MERANTI,14086,RIAU
2943,KEPULAUAN MERANTI 2,14087,KEPULAUAN MERANTI,14086,RIAU
2944,KEPULAUAN MERANTI 3,14087,KEPULAUAN MERANTI,14086,RIAU
2945,KEPULAUAN MERANTI 4,14087,KEPULAUAN MERANTI,14086,RIAU
5645,KAMPAR 1,14166,KAMPAR,14086,RIAU
5646,KAMPAR 2,14166,KAMPAR,14086,RIAU
5647,KAMPAR 3,14166,KAMPAR,14086,RIAU
5648,KAMPAR 4,14166,KAMPAR,14086,RIAU
5649,KAMPAR 5,14166,KAMPAR,14086,RIAU
5650,KAMPAR 6,14166,KAMPAR,14086,RIAU
3124,INDRAGIRI HULU 1,14414,INDRAGIRI HULU,14086,RIAU
3125,INDRAGIRI HULU 2,14414,INDRAGIRI HULU,14086,RIAU
3126,INDRAGIRI HULU 3,14414,INDRAGIRI HULU,14086,RIAU
3127,INDRAGIRI HULU 4,14414,INDRAGIRI HULU,14086,RIAU
2999,BENGKALIS 1,14630,BENGKALIS,14086,RIAU
3000,BENGKALIS 2,14630,BENGKALIS,14086,RIAU
3001,BENGKALIS 3,14630,BENGKALIS,14086,RIAU
3002,BENGKALIS 4,14630,BENGKALIS,14086,RIAU
3003,BENGKALIS 5,14630,BENGKALIS,14086,RIAU
3004,BENGKALIS 6,14630,BENGKALIS,14086,RIAU
5678,INDRAGIRI HILIR 1,14741,INDRAGIRI HILIR,14086,RIAU
5679,INDRAGIRI HILIR 2,14741,INDRAGIRI HILIR,14086,RIAU
5680,INDRAGIRI HILIR 3,14741,INDRAGIRI HILIR,14086,RIAU
5681,INDRAGIRI HILIR 4,14741,INDRAGIRI HILIR,14086,RIAU
5682,INDRAGIRI HILIR 5,14741,INDRAGIRI HILIR,14086,RIAU
5683,INDRAGIRI HILIR 6,14741,INDRAGIRI HILIR,14086,RIAU
5684,INDRAGIRI HILIR 7,14741,INDRAGIRI HILIR,14086,RIAU
5673,PELALAWAN 1,14955,PELALAWAN,14086,RIAU
5674,PELALAWAN 2,14955,PELALAWAN,14086,RIAU
5675,PELALAWAN 3,14955,PELALAWAN,14086,RIAU
5676,PELALAWAN 4,14955,PELALAWAN,14086,RIAU
5677,PELALAWAN 5,14955,PELALAWAN,14086,RIAU
3708,ROKAN HULU 1,15087,ROKAN HULU,14086,RIAU
3709,ROKAN HULU 2,15087,ROKAN HULU,14086,RIAU
3710,ROKAN HULU 3,15087,ROKAN HULU,14086,RIAU
